diameter_mm,x0_cm,y0_cm
0.593,20.818584,12.08714
0.417,7.85056,15.667995
0.899,6.91685,8.391429
0.833,17.475033,3.4768121
0.333,16.200207,4.181649
0.446,17.900717,1.6448463
0.467,11.42333,7.273472
0.383,14.884966,11.589366
0.686,15.339011,12.018324
0.4,14.238508,14.914437
0.599,13.1673,15.417274
0.432,9.725381,3.489635
0.517,2.1060507,9.905683
0.423,7.1756406,15.511532
0.32,9.630292,11.33406
0.433,10.209997,11.980139
0.499,9.644466,13.782503
0.361,7.348039,12.45915
0.456,17.663343,5.7929177
0.561,18.187374,4.7467546
0.6,10.166667,4.6066666
0.498,9.172972,7.6349187
0.992,2.820339,6.5543833
0.133,6.1400003,9.1
0.133,15.276664,16.380138
0.566,12.135878,16.976107
0.566,13.353124,12.246543
0.6,25.906742,10.47433
0.362,18.886667,1.7266667
0.362,10.328127,6.120162
0.488,5.6200004,9.193334
0.488,20.913334,15.42
0.788,1.5932298,12.718556
0.788,15.502413,12.77348
0.728,2.309809,13.298924
0.728,8.178957,2.6179247
0.391,6.1400003,9.1
0.391,15.276664,16.380138
0.584,12.135878,16.976107
0.584,13.353124,12.246543
0.461,4.8532267,6.1879683
0.86,4.6241226,6.610561
0.499,15.685281,5.136969
0.696,18.886667,1.7266667
0.696,10.328127,6.120162
0.3,5.6200004,9.193334
0.3,20.913334,15.42
0.598,1.5932298,12.718556
0.598,15.502413,12.77348
0.765,2.309809,13.298924
0.765,8.178957,2.6179247
0.549,13.879336,1.6171002
0.565,16.884586,9.690477
0.492,13.766667,9.406667
0.761,22.599382,0.954784
0.997,15.487569,8.663708
0.533,5.166667,15.566667
0.567,2.4990814,16.536797
0.497,6.1926208,14.052168
0.455,5.967007,14.122896
0.48,7.947393,12.723347
0.9,5.09214,12.30837
0.495,9.100415,11.409966
0.567,11.30219,4.5569096
0.758,9.555653,1.9062612
0.46,7.9545217,5.3598933
0.433,2.7498999,8.114744
0.532,7.82337,4.9969206
0.593,8.104536,0.89108795
0.548,7.1608157,0.7980335
0.598,17.494865,8.335748
0.367,15.887745,4.9964876
0.264,13.769736,6.765369
0.398,13.659999,7.7000003
0.732,15.084512,7.347025
0.2,10.788892,5.521695
0.297,10.6299925,4.993749
0.333,14.20335,3.4524496
0.966,18.742785,14.8390465
0.698,19.427298,16.44415
0.6,18.859806,16.653337
0.664,18.050966,15.882772
0.53,16.479666,16.887257
0.555,16.585684,17.18985
0.328,23.45295,5.1744475
0.261,20.526667,4.0866666
0.326,17.90043,3.6499724
0.508,18.720001,14.160001
0.491,18.664581,16.135689
0.567,17.227901,11.568227
0.133,11.243474,5.5123754
0.599,10.471873,12.853171
0.4,9.613339,12.659722
0.439,22.945179,12.599724
0.466,23.960526,14.19593
0.428,25.46401,13.133443
0.832,17.423302,10.873804
0.467,24.74,4.3933334
0.653,17.949799,8.331243
0.533,9.839596,6.897714
0.753,3.7686932,12.815008
0.998,4.7536883,5.6747065
0.72,6.3167167,3.4076648
0.568,2.5048547,3.1630497
0.297,2.8618948,1.7075322
0.667,2.0559266,2.216225
1.155,3.3395371,2.3820922
0.467,10.38,11.566667
0.593,2.3124146,4.1501293
0.73,3.334901,3.7842948
0.495,8.897585,7.0128803
0.366,6.6335697,17.110008
0.614,9.256728,16.779366
0.398,6.1933336,16.806667
0.433,23.864649,8.469342
0.432,22.31486,7.5801563
0.789,25.019852,8.711341
0.499,24.905373,8.466052
0.667,22.873333,16.213333
0.608,22.702568,14.968793
