diameter_mm,x0_cm,y0_cm
0.542376,12.579412,13.862858
0.542376,14.484939,13.508651
1.0580693,12.579412,13.862858
1.0580693,14.484939,13.508651
0.6719758,16.115604,14.021995
0.6719758,14.323221,7.203691
0.80347754,13.547307,6.921917
0.80347754,14.248267,15.242188
0.80347754,25.670382,13.785386
0.93307674,24.753683,9.997536
0.93307674,21.616848,12.349925
0.61728183,25.35596,11.17995
0.61728183,19.626986,7.1698217
0.4925132,5.170608,14.923445
0.4925132,14.118896,12.249698
0.795737,16.634377,10.447131
0.795737,10.064548,16.068617
0.5443147,16.13092,9.924113
0.7730073,17.414576,7.6073694
0.7730073,8.989628,16.014841
0.7752518,16.879667,13.599922
0.7752518,7.2842255,15.022773
0.62196385,25.8043,11.310707
0.62196385,9.593898,10.337677
0.41466758,16.115604,14.021995
0.41466758,14.323221,7.203691
0.8015739,13.547307,6.921917
0.8015739,14.248267,15.242188
0.8015739,25.670382,13.785386
1.4458369,13.547307,6.921917
1.4458369,14.248267,15.242188
1.4458369,25.670382,13.785386
0.93297206,24.753683,9.997536
0.93297206,21.616848,12.349925
0.57010613,25.35596,11.17995
0.57010613,19.626986,7.1698217
0.77769086,13.876507,11.853746
0.855345,5.170608,14.923445
0.855345,14.118896,12.249698
0.648022,16.634377,10.447131
0.648022,10.064548,16.068617
0.57017144,3.3508542,13.386488
0.7765475,17.414576,7.6073694
0.7765475,8.989628,16.014841
1.3116595,16.879667,13.599922
1.3116595,7.2842255,15.022773
0.7704034,25.8043,11.310707
0.7704034,9.593898,10.337677
0.6212177,12.022535,10.080451
0.57014305,10.888445,12.615936
0.6671926,8.589833,13.577147
0.6671926,6.4806266,9.766722
0.69975354,8.589833,13.577147
0.69975354,6.4806266,9.766722
0.7774932,8.952935,7.5221243
0.8023934,9.517997,4.733296
1.140493,10.5289,5.25149
0.75074546,3.176451,2.640887
0.82942605,4.7547536,5.3474526
0.7202795,3.419847,6.136224
0.95905885,2.9886606,4.5657887
0.5701648,3.2912335,3.3386016
0.7257862,5.0480394,1.1413488
0.4541696,19.079422,16.369492
0.41369803,20.47118,14.709743
0.58360685,21.595585,4.4330134
0.6432872,18.009604,8.029434
0.49134396,14.715026,12.468464
0.46622336,14.496332,12.595639
0.6212654,10.020859,8.7559395
0.3623156,10.298703,9.785831
0.5958473,3.1343656,12.357532
0.41161004,2.3779926,11.858138
0.4531308,4.271464,17.764368
0.8773453,5.894318,11.659034
0.41464437,14.552428,3.4421968
0.6456118,9.712614,15.366485
0.7334983,25.67487,14.619943
0.38299117,26.199442,14.92884
0.36245592,26.091558,15.930729
0.9284921,26.112295,16.013676
0.7123776,26.271845,15.830925
0.7522243,24.249235,15.273519
0.4545227,24.885523,6.12062
0.6384872,8.8646145,15.989322
0.6124947,3.2530274,6.277617
0.7507774,10.715143,6.223998
0.7766549,15.9203615,11.752347
0.3836063,25.415047,6.235929
0.44055816,23.26086,8.416375
0.4828591,21.167845,6.355567
0.6710288,21.612825,6.2602544
0.41468862,19.70691,9.061331
0.5701928,19.334333,6.5518527
0.5182491,22.609669,0.3388104
0.44059444,18.499527,4.933086
0.8883317,22.098043,17.699104
0.5436006,22.219059,16.170086
0.4406431,18.372547,16.59283
0.4923538,23.500126,14.642456
0.49181502,26.040085,14.256279
0.7994467,23.810253,16.096626
0.54043267,19.674782,18.33109
0.8915372,23.736025,17.845188
0.77375464,23.637552,17.624779
0.66156395,24.33132,15.132108
0.98197006,24.54805,15.874062
0.7143307,25.918884,16.445671
0.6610359,26.086374,17.485958
0.8255017,26.097546,17.414612
0.62133055,22.831041,12.068925
