diameter_mm,tensile_strength_MPa,elastic_modulus_MPa
0.768,1.051813922,5.19297672
0.979,5.28065812,43.11664963
0.353,2.098854109,21.50434576
0.316,1.607573194,22.19816232
0.635,4.390988374,48.88980679
0.868,12.20038075,73.93475402
0.355,4.053941039,24.78308508
0.37,5.452128276,31.11424289
0.245,46.20375343,605.6205328
0.322,119.9288192,1217.334626
0.127,35.58954196,658.0756302
0.245,8.943149768,118.777003
0.863,5.837859433,38.36919375
0.809,9.78292724,58.52271712
0.082,29.68516672,946.4120352
0.131,18.28386094,377.1441963
0.5,3.64963201,26.21051532
0.435,6.75968668,62.83764512
0.187,8.775399428,187.013681
0.2,9.155265367,79.44068409
