diameter_mm,tensile_strength_MPa
0.65,10.9182
0.81,16.701
0.97,17.8706
1,9.6321
1.02,9.9776
1.02,19.9883
1.03,5.2075
1.03,13.3757
1.17,7.5042
1.17,6.7378
1.19,12.2945
1.19,5.9306
1.2,13.8986
1.21,7.2102
1.23,10.2808
1.25,8.5741
1.31,19.3905
1.31,11.5075
1.33,9.0312
1.37,8.519
1.41,9.8786
1.42,13.2117
1.43,7.6666
1.53,7.9672
1.55,7.5101
1.66,3.3864
1.81,7.3388
1.83,4.4053
1.9,9.2245
1.92,10.5492
1.94,6.3232
1.94,12.6671
1.94,6.2721
1.95,8.4581
1.96,11.0537
1.99,11.7543
2.02,3.2926
2.03,14.5748
2.03,7.9677
2.31,8.7875
2.45,5.6037
2.59,4.6216
2.74,9.166
2.81,9.817
3.8,3.0164
3.89,3.725
