diameter_mm,tensile_strength_MPa,elastic_modulus_MPa
0.6355,5.867125553,146.5162412
0.811333333,7.617056764,145.0891354
0.3385,1.944602417,15.89486221
0.274333333,2.165523631,47.19421961
1.215333333,9.765868593,167.702683
1.416333333,10.93488019,165.0000713
0.238,5.169922592,100.4275071
0.3785,2.035231582,77.248632
0.464666667,7.324005747,92.23540474
0.670166667,8.439628069,146.8193854
0.2385,5.48402513,123.7186521
0.1765,5.395039521,56.84959162
0.702166667,5.244929133,138.3879109
0.8315,9.686599763,237.3487524
0.370833333,4.916398866,83.23353645
0.379333333,1.468845753,17.55316437
0.515,5.482286964,79.08573892
0.7205,7.581255851,131.6212728
0.277333333,4.237853514,37.41213489
0.379833333,2.056268819,28.3613035
