diameter_mm,tensile_strength_MPa,elastic_modulus_MPa
1.7,8.614425294,60.97302442
1.2,6.932788514,104.8321657
1.2,12.78991187,61.66343986
1,17.73690585,72.84539933
1.1,14.70434545,94.07010742
1,18.76876836,80.73806389
1,14.45475666,71.41508487
1.1,10.74627383,58.60536218
1,13.21313629,58.34827441
1,18.45213205,77.37490666
0.6,9.126488841,35.30323978
0.4,12.82811923,74.00267623
0.5,16.10160316,56.782332
0.5,20.99632611,72.25632228
0.5,7.655421477,32.79017439
0.6,18.08205156,60.35413865
0.6,12.35609721,51.59575322
0.8,15.06308066,65.0777251
0.9,9.656646366,34.05418047
0.8,13.16653251,43.80066483
0.9,17.92267962,72.7107084
0.5,4.284136345,12.04385372
0.8,5.711772117,33.53146219
1,16.2435978,58.52386499
0.5,1.788693954,10.31859287
0.8,10.73165029,37.3177247
0.7,10.49799593,31.27462668
0.9,11.02703859,46.82972135
0.6,14.05837673,46.00085239
0.8,19.94716545,72.3900768
0.55,14.953755,47.22736547
0.8,5.9462473,20.53409967
0.4,2.913857937,20.77164444
0.4,12.39172593,37.93540638
0.3,3.960241148,22.45636742
0.2,28.43836609,77.5450529
0.2,18.70519533,62.01921906
0.7,9.483966818,28.33832001
1,9.078350973,38.55401817
0.9,8.115007807,28.51682321
0.9,7.580620556,25.99814198
0.8,8.633521332,32.15020257
0.65,6.408559095,19.98669368
0.6,5.276690263,15.58028664
0.6,6.75846467,18.3786042
0.6,1.465048993,16.80596431
0.4,9.909978038,30.06127076
0.4,2.49931666,23.53130213
0.5,3.474572188,11.59740149
0.3,3.173337426,20.69928595
1,1.419227441,3.967476151
0.5,1.154663126,16.46219714
